PER,ENT,CON,R_DEF,PA1,PA2_1,PA2_1_1,PA2_H_1,PA2_H_2,PA2_H_3,PA2_H_4,PA2_H_5,PA2_H_6,PA2_H_7,PA2_H_8,PA2_H_9,PA2_2,PA2_2_1,PA2_M_1,PA2_M_2,PA2_M_3,PA2_M_4,PA2_M_5,PA2_M_6,PA2_M_7,PA2_M_8,PA2_M_9,PA3_1,PA3_1_1,PA3_2,PA3_2_1,PA3_3,PA3_3_1,PA4_1,PA4_2,PA4_3,PA4_4,PB1,PB2,PB3,PC1_1,PC1_2,PC1_3,PC1_4,PC2,PC3,PC4,PC5_1,PC5_2,PC5_3,PC6,PC7,PD1,PD2,PD3,PE1,PE2,PE3,PE4,PE5,PE5_1,PE6,PE7,PE8,PE9,PE10,PE10_1,PE11,PE12,PE12_1,PE13,PE14_1,PE14_2,PE14_3,PE14_4,PE15,PE16,PE17,PE18,PE19_1,PE19_2,PF1,PF2,PF3_1,PF3_2,PF3_3,PF3_4,PF3_5,PF3_6,PF4_1,PF4_1_1,PF5,PF6_1,PF6_2,PF6_3,PF6_4,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15_1,PF15_2,PF15_3,PF15_4,PF15_5,PF16,PG1,PG2,PG3_1,PG3_2,PG3_3,PG3_4,PG4,PG5_1,PG5_2,PG5_3,PG5_4,PG5_5,PG5_6,PG6_1,PG6_2,PG6_3,PG6_4,PG6_5,PG6_6,PG6_7,PG7,PG8,PG9,CLASE1,CLASE2,CLASE3,DISPOB,RAZ_DIS,POS_OCU,S_ACT,N_TRA,LOCAL,H_TRA_SR,A_SER_SAL,A_AUS_T,NO_TRA_HH,TRA_MEN,TRA_MAS,TRA_MEN35,PER_TRA,ING_DIS,F_VEN,INF_COV,POS_OCU2,S_ACT2,N_TRA2,LOCAL2,A_SER_SAL2,FAC_VIV,FAC_PER
320,06,06E12867,00,02,,,,,,,,,,,,2,02,60,25,,,,,,,,,,2,02,3,01,1,2,,4,2,60,5,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,2,,4,5,,,2,3,4,,,,02,02,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,687,708
320,06,06E12875,00,04,1,01,51,,,,,,,,,2,03,26,19,51,,,,,,,1,03,2,02,3,01,1,2,,,2,51,5,1,,,,1,,,,,,,,,,,2135,2,1,1,6111,6,6,2,,,1,25,2,1,33,01,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,1,1,1,1,2,,,,,,,5,2,2,1,,2,,,1,1,,,4,5,,1,2,3,4,,,,02,05,1,1,1,0,0,0,1,6,6,1,3,1,4,1,1,0,1,2,1,1,1,0,0,0,0,0,549,1228
320,06,06E12294,00,04,1,03,15,10,03,,,,,,,2,01,35,,,,,,,,,1,01,,,,,,,,,2,35,3,,2,,,1,,,,,,,,,,,7515,2,4,2,3110,3,1,5,4,5,1,05,1,,,,,2,,,4,2,7,,3,,1,1,,2,,,,,2,,,,,,4,1,2,1,1,2,,,,,,,,5,2,2,1,,2,,,1,1,2,,,,,1,2,3,,,,,01,06,1,1,1,0,0,0,2,3,1,2,1,2,4,0,0,0,0,2,1,1,1,0,0,0,0,0,743,1076
320,06,06E12311,00,04,1,02,06,32,,,,,,,,2,02,31,03,,,,,,,,1,01,2,01,3,01,1,2,3,,1,32,9,1,,,,1,,,,,,,,,,,1511,2,1,1,4881,6,6,4,,,1,40,1,,,,1,,,,1,1,,,3,,1,2,,2,,4,,,2,,,,,,4,1,2,1,1,1,2,,,,,,,5,2,1,1,,,,4,1,,,,4,5,,1,2,3,4,,,,02,01,2,1,1,0,0,0,1,6,6,1,4,1,4,0,0,0,0,1,1,2,1,0,0,0,0,0,886,1527
320,06,06E12602,00,02,1,01,58,,,,,,,,,2,01,55,,,,,,,,,1,02,,,,,1,2,,4,1,58,8,1,,,,1,,,,,,,,,,,1412,2,1,1,7210,6,2,4,,,1,56,1,,,,1,,,,1,1,,,3,,1,1,,2,3,4,5,,2,,,,,,4,1,1,1,1,1,2,,,,,,,5,2,2,1,,2,,,1,1,2,,4,,,1,2,3,4,5,,,02,07,1,1,1,0,0,0,1,6,2,1,5,1,4,0,0,0,0,2,1,1,1,0,0,0,0,0,629,764
320,06,06E12782,00,04,1,03,15,10,39,,,,,,,2,01,39,,,,,,,,,1,01,,,,,,,,,1,39,5,1,,,,1,,,,,,,,,,,7411,2,1,1,4681,5,2,4,,,1,48,1,,,,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,2,2,2,,,,,1,1,,,,5,,1,2,3,4,,,,02,05,1,1,1,0,0,0,1,5,2,1,4,1,4,0,0,0,0,2,2,3,1,0,0,0,0,0,521,1527
320,06,06E12352,00,03,1,02,45,47,,,,,,,,2,01,55,,,,,,,,,1,02,2,01,,,,2,,,1,47,3,,2,,,1,,,,,,,,,,,7101,2,4,2,2382,6,1,5,4,6,1,43,1,,,,,2,,,4,2,7,,3,,2,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,5,1,2,2,,,,,1,1,,,,5,,1,,3,4,,,,03,06,1,1,1,0,0,0,2,6,1,2,4,2,4,0,0,0,0,2,2,3,1,0,0,0,0,0,317,1003
320,06,06E12350,00,01,,,,,,,,,,,,2,01,64,,,,,,,,,,,2,01,,,,2,,4,2,64,2,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,4,1,,,,,5,,1,2,3,4,5,,,01,01,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,289,305
320,06,06E12429,00,02,1,01,69,,,,,,,,,2,01,73,,,,,,,,,,,2,02,,,,,,4,1,69,4,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,,,1,1,,,,,,1,2,3,4,5,,,02,07,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,350,880
320,06,06E12516,00,06,1,01,51,,,,,,,,,2,05,53,28,17,09,04,,,,,1,03,,,,,1,,,,2,18,6,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,1,,,,5,,1,,3,4,,,,03,07,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,678,2121
